,coefficient
const,70.02818003913895
alcohol,-0.5970177891398945
polio,1.0466769414783212
total_expenditure,0.27332921519370057
hiv_aids,-4.07141413014954
gdp,2.0924730101241793
thinness_1_19_years,-0.6508852349600402
schooling,3.4792692739155746
